,store,building,date,store_code,amount,n_sales,n_customer,sales_per_customer
0,lakole,lalaport_tokyo_bay,2021-10-01,1875,228230,194,85,2685.058823529
1,repipi_armario,lalaport_tokyo_bay,2021-10-01,1497,114859,66,21,5469.476190476
2,studio_clip,lalaport_tokyo_bay,2021-10-01,2296,185668,61,34,5460.823529412
3,niko_and,lalaport_tokyo_bay,2021-10-01,2255,429153,135,94,4565.457446809
4,global_work,lalaport_tokyo_bay,2021-10-01,728,300410,94,52,5777.115384615
5,bayflow,lalaport_tokyo_bay,2021-10-01,2469,372858,75,43,8671.11627907
6,jeanasis,lalaport_tokyo_bay,2021-10-01,803,121575,21,13,9351.923076923
7,rageblue,lalaport_tokyo_bay,2021-10-01,1160,149205,31,18,8289.166666667
8,lowrys_farm,lalaport_tokyo_bay,2021-10-01,755,145900,36,21,6947.619047619
9,.st,lalaport_tokyo_bay,2021-10-01,9092,116410,20,17,6847.647058824
10,hare,lalaport_tokyo_bay,2021-10-01,3131,143610,18,9,15956.666666667
11,heather,lalaport_tokyo_bay,2021-10-01,1367,77782,18,11,7071.090909091
12,elura,lalaport_tokyo_bay,2021-10-01,8708,52920,11,4,13230.0
13,lepsim,lalaport_tokyo_bay,2021-10-01,1844,66000,22,16,4125.0
14,pageboy,lalaport_tokyo_bay,2021-10-01,2620,85410,21,16,5338.125
15,lakole,lalaport_tokyo_bay,2021-10-02,1875,901500,743,316,2852.848101266
16,repipi_armario,lalaport_tokyo_bay,2021-10-02,1497,410998,223,81,5074.049382716
17,lepsim,lalaport_tokyo_bay,2021-10-02,1844,369110,114,72,5126.527777778
18,niko_and,lalaport_tokyo_bay,2021-10-02,2255,1748739,570,333,5251.468468468
19,bayflow,lalaport_tokyo_bay,2021-10-02,2469,1042787,250,154,6771.344155844
20,global_work,lalaport_tokyo_bay,2021-10-02,728,1699631,510,280,6070.110714286
21,elura,lalaport_tokyo_bay,2021-10-02,8708,70380,13,8,8797.5
22,.st,lalaport_tokyo_bay,2021-10-02,9092,722880,145,91,7943.736263736
23,pageboy,lalaport_tokyo_bay,2021-10-02,2620,334730,77,48,6973.541666667
24,jeanasis,lalaport_tokyo_bay,2021-10-02,803,453075,71,51,8883.823529412
25,hare,lalaport_tokyo_bay,2021-10-02,3131,228800,32,22,10400.0
26,rageblue,lalaport_tokyo_bay,2021-10-02,1160,556370,117,76,7320.657894737
27,studio_clip,lalaport_tokyo_bay,2021-10-02,2296,258694,109,73,3543.753424658
28,heather,lalaport_tokyo_bay,2021-10-02,1367,412425,86,53,7781.603773585
29,lowrys_farm,lalaport_tokyo_bay,2021-10-02,755,690877,168,115,6007.626086957
30,niko_and,lalaport_tokyo_bay,2021-10-03,2255,1879647,603,379,4959.490765172
31,lakole,lalaport_tokyo_bay,2021-10-03,1875,1028500,778,322,3194.099378882
32,repipi_armario,lalaport_tokyo_bay,2021-10-03,1497,600395,304,105,5718.047619048
33,studio_clip,lalaport_tokyo_bay,2021-10-03,2296,253117,125,80,3163.9625
34,pageboy,lalaport_tokyo_bay,2021-10-03,2620,327450,77,47,6967.021276596
35,.st,lalaport_tokyo_bay,2021-10-03,9092,630344,120,91,6926.857142857
36,bayflow,lalaport_tokyo_bay,2021-10-03,2469,945410,216,139,6801.510791367
37,rageblue,lalaport_tokyo_bay,2021-10-03,1160,797784,179,104,7671.0
38,global_work,lalaport_tokyo_bay,2021-10-03,728,1548497,498,256,6048.81640625
39,lepsim,lalaport_tokyo_bay,2021-10-03,1844,352200,108,73,4824.657534247
40,heather,lalaport_tokyo_bay,2021-10-03,1367,446130,96,47,9492.127659574
41,lowrys_farm,lalaport_tokyo_bay,2021-10-03,755,836005,218,142,5887.35915493
42,jeanasis,lalaport_tokyo_bay,2021-10-03,803,442250,68,49,9025.510204082
43,hare,lalaport_tokyo_bay,2021-10-03,3131,445110,57,36,12364.166666667
44,elura,lalaport_tokyo_bay,2021-10-03,8708,55800,11,9,6200.0
45,lakole,lalaport_tokyo_bay,2021-10-04,1875,417740,349,150,2784.933333333
46,niko_and,lalaport_tokyo_bay,2021-10-04,2255,663957,211,142,4675.753521127
47,bayflow,lalaport_tokyo_bay,2021-10-04,2469,359110,86,56,6412.678571429
48,studio_clip,lalaport_tokyo_bay,2021-10-04,2296,139545,63,41,3403.536585366
49,elura,lalaport_tokyo_bay,2021-10-04,8708,48520,9,8,6065.0
50,pageboy,lalaport_tokyo_bay,2021-10-04,2620,162260,33,22,7375.454545455
51,global_work,lalaport_tokyo_bay,2021-10-04,728,555425,180,101,5499.257425743
52,heather,lalaport_tokyo_bay,2021-10-04,1367,109550,25,16,6846.875
53,lowrys_farm,lalaport_tokyo_bay,2021-10-04,755,336669,87,62,5430.14516129
54,jeanasis,lalaport_tokyo_bay,2021-10-04,803,160875,31,17,9463.235294118
55,rageblue,lalaport_tokyo_bay,2021-10-04,1160,230360,46,22,10470.909090909
56,.st,lalaport_tokyo_bay,2021-10-04,9092,169990,36,24,7082.916666667
57,hare,lalaport_tokyo_bay,2021-10-04,3131,143050,17,13,11003.846153846
58,lepsim,lalaport_tokyo_bay,2021-10-04,1844,165720,54,35,4734.857142857
59,repipi_armario,lalaport_tokyo_bay,2021-10-04,1497,146776,64,24,6115.666666667
60,lepsim,lalaport_tokyo_bay,2021-10-05,1844,263200,76,49,5371.428571429
61,lakole,lalaport_tokyo_bay,2021-10-05,1875,452300,334,152,2975.657894737
62,repipi_armario,lalaport_tokyo_bay,2021-10-05,1497,35752,23,14,2553.714285714
63,niko_and,lalaport_tokyo_bay,2021-10-05,2255,736388,234,136,5414.617647059
64,bayflow,lalaport_tokyo_bay,2021-10-05,2469,396730,84,53,7485.471698113
65,rageblue,lalaport_tokyo_bay,2021-10-05,1160,284817,66,38,7495.184210526
66,.st,lalaport_tokyo_bay,2021-10-05,9092,198500,36,27,7351.851851852
67,global_work,lalaport_tokyo_bay,2021-10-05,728,473300,156,85,5568.235294118
68,lowrys_farm,lalaport_tokyo_bay,2021-10-05,755,311345,89,57,5462.192982456
69,jeanasis,lalaport_tokyo_bay,2021-10-05,803,473245,77,40,11831.125
70,pageboy,lalaport_tokyo_bay,2021-10-05,2620,203442,45,24,8476.75
71,studio_clip,lalaport_tokyo_bay,2021-10-05,2296,217219,89,44,4936.795454545
72,hare,lalaport_tokyo_bay,2021-10-05,3131,120510,16,12,10042.5
73,heather,lalaport_tokyo_bay,2021-10-05,1367,141050,28,18,7836.111111111
74,elura,lalaport_tokyo_bay,2021-10-05,8708,63620,13,7,9088.571428571
75,lakole,lalaport_tokyo_bay,2021-10-06,1875,490010,383,165,2969.757575758
76,niko_and,lalaport_tokyo_bay,2021-10-06,2255,791957,262,170,4658.570588235
77,lowrys_farm,lalaport_tokyo_bay,2021-10-06,755,375712,97,65,5780.184615385
78,jeanasis,lalaport_tokyo_bay,2021-10-06,803,309535,51,34,9103.970588235
79,pageboy,lalaport_tokyo_bay,2021-10-06,2620,114330,28,19,6017.368421053
80,bayflow,lalaport_tokyo_bay,2021-10-06,2469,476270,119,72,6614.861111111
81,elura,lalaport_tokyo_bay,2021-10-06,8708,47520,10,8,5940.0
82,.st,lalaport_tokyo_bay,2021-10-06,9092,245730,50,36,6825.833333333
83,global_work,lalaport_tokyo_bay,2021-10-06,728,637502,201,125,5100.016
84,lepsim,lalaport_tokyo_bay,2021-10-06,1844,170904,57,39,4382.153846154
85,heather,lalaport_tokyo_bay,2021-10-06,1367,139250,29,17,8191.176470588
86,studio_clip,lalaport_tokyo_bay,2021-10-06,2296,239581,91,57,4203.175438596
87,rageblue,lalaport_tokyo_bay,2021-10-06,1160,220125,50,30,7337.5
88,hare,lalaport_tokyo_bay,2021-10-06,3131,185510,21,15,12367.333333333
89,repipi_armario,lalaport_tokyo_bay,2021-10-06,1497,90903,50,19,4784.368421053
90,lakole,lalaport_tokyo_bay,2021-10-07,1875,411050,371,141,2915.24822695
91,niko_and,lalaport_tokyo_bay,2021-10-07,2255,969951,290,176,5511.085227273
92,bayflow,lalaport_tokyo_bay,2021-10-07,2469,506890,112,80,6336.125
93,global_work,lalaport_tokyo_bay,2021-10-07,728,582507,174,102,5710.852941176
94,.st,lalaport_tokyo_bay,2021-10-07,9092,203260,41,36,5646.111111111
95,pageboy,lalaport_tokyo_bay,2021-10-07,2620,234077,56,32,7314.90625
96,lowrys_farm,lalaport_tokyo_bay,2021-10-07,755,337035,91,66,5106.590909091
97,lepsim,lalaport_tokyo_bay,2021-10-07,1844,203375,55,44,4622.159090909
98,repipi_armario,lalaport_tokyo_bay,2021-10-07,1497,177273,85,24,7386.375
99,studio_clip,lalaport_tokyo_bay,2021-10-07,2296,242114,97,56,4323.464285714
100,jeanasis,lalaport_tokyo_bay,2021-10-07,803,243510,39,26,9365.769230769
101,heather,lalaport_tokyo_bay,2021-10-07,1367,194460,44,23,8454.782608696
102,rageblue,lalaport_tokyo_bay,2021-10-07,1160,249265,56,36,6924.027777778
103,elura,lalaport_tokyo_bay,2021-10-07,8708,111988,20,8,13998.5
104,hare,lalaport_tokyo_bay,2021-10-07,3131,79000,9,6,13166.666666667
105,niko_and,lalaport_tokyo_bay,2021-10-08,2255,708796,251,154,4602.571428571
106,lakole,lalaport_tokyo_bay,2021-10-08,1875,343390,246,131,2621.297709924
107,repipi_armario,lalaport_tokyo_bay,2021-10-08,1497,237793,109,41,5799.829268293
108,studio_clip,lalaport_tokyo_bay,2021-10-08,2296,271087,90,47,5767.808510638
